Date,Open,High,Low,Close,Volume,Adj Close
2013-07-23,169.80,169.83,169.05,169.14,80829700,163.47
2013-07-22,169.41,169.74,169.01,169.50,79428600,163.82
2013-07-19,168.52,169.23,168.31,169.17,103831700,163.50
2013-07-18,168.31,169.27,168.20,168.87,103620100,163.21
2013-07-17,168.16,168.48,167.73,167.95,92873900,162.32
2013-07-16,168.26,168.36,167.07,167.52,88702100,161.91
2013-07-15,167.97,168.39,167.68,168.15,69450600,162.52
2013-07-12,167.39,167.93,167.13,167.51,104212700,161.90
2013-07-11,167.11,167.61,165.18,167.44,135592200,161.83
2013-07-10,164.97,165.75,164.63,165.19,121410100,159.65
2013-07-09,164.98,165.33,164.27,165.13,119298000,159.60
2013-07-08,163.86,164.39,163.08,163.95,108092500,158.46
2013-07-05,162.47,163.08,161.30,163.02,122416900,157.56
2013-07-03,160.48,161.77,160.22,161.28,75216400,155.88
2013-07-02,161.12,162.30,160.50,161.21,154863700,155.81
2013-07-01,161.26,162.48,161.08,161.36,131954800,155.95
2013-06-28,160.63,161.40,159.86,160.42,160402900,155.04
2013-06-27,161.10,161.82,160.95,161.08,129483700,155.68
2013-06-26,159.87,160.50,159.25,160.14,134848000,154.77
2013-06-25,158.48,160.10,157.42,158.57,162262200,153.26
2013-06-24,157.41,158.43,155.73,157.06,222329000,151.80
2013-06-21,159.64,159.76,157.47,159.07,271956800,153.74
2013-06-20,161.86,163.47,158.98,159.40,321255900,153.25
2013-06-19,165.60,165.89,163.38,163.45,206149500,157.14
